epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,596.887,1.99081,0.19145,0.04447,1.02246,0.73053,0.75618,0.49462,0.54156,0.16074,0.87125,0.56989,0.70066,0.64112,2.93509,0.87354,0.03823,2.16017,0.90244,0.0009704,0.0009704,0.0009704
54,608.734,1.94518,0.16625,0.05845,1.0251,0.73649,0.80921,0.44086,0.48484,0.14363,0.9215,0.50488,0.63884,0.59996,3.02072,0.85551,0.05044,2.35161,0.89796,0.0009506,0.0009506,0.0009506
55,620.657,1.9072,0.16779,0.03156,1.04914,0.73218,0.82496,0.46595,0.52201,0.16173,0.89634,0.50896,0.63889,0.59534,3.03053,0.83794,0.03892,2.19323,0.89962,0.0009308,0.0009308,0.0009308
56,631.836,1.954,0.14901,0.03592,1.00202,0.72643,0.72524,0.51089,0.53592,0.15985,0.84252,0.59444,0.75692,0.67143,2.99348,0.87424,0.04322,2.02076,0.89196,0.000911,0.000911,0.000911
57,642.699,1.96688,0.17247,0.03731,1.01534,0.73329,0.71465,0.49462,0.53478,0.15341,0.82048,0.57336,0.69296,0.61544,3.0512,0.86466,0.02982,2.04241,0.90402,0.0008912,0.0008912,0.0008912
58,660.818,1.96141,0.15914,0.04599,0.95031,0.72455,0.76298,0.52688,0.5915,0.20024,0.84565,0.58913,0.72766,0.66738,2.91695,0.78792,0.03618,1.98721,0.89166,0.0008714,0.0008714,0.0008714
59,672.319,1.8402,0.16383,0.03763,0.96073,0.73165,0.75086,0.45878,0.50722,0.15211,0.85059,0.51971,0.66496,0.6087,3.00996,0.89797,0.0548,2.51346,0.90361,0.0008516,0.0008516,0.0008516
60,682.903,1.8121,0.13856,0.03952,0.97917,0.73462,0.78097,0.4473,0.53899,0.16798,0.85607,0.49031,0.64332,0.60789,2.95646,0.85242,0.04305,2.6075,0.89891,0.0008318,0.0008318,0.0008318
61,693.26,1.85309,0.13872,0.05092,0.97397,0.71654,0.69349,0.44803,0.50638,0.14714,0.79564,0.51632,0.66602,0.60602,3.05477,0.94252,0.04975,2.38622,0.90471,0.000812,0.000812,0.000812
62,704.123,1.85161,0.13338,0.02227,0.94223,0.72381,0.7235,0.49707,0.51356,0.15414,0.86899,0.59857,0.73062,0.66354,3.05138,0.8817,0.04359,2.07665,0.91495,0.0007922,0.0007922,0.0007922
